Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	collecting_institution	ENA-FIRST-PUBLIC (run)	ENA_first_public	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	geographic_location_(country_and/or_sea)	host_scientific_name	sample_capture_status	Library Name	External_Id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	sample_name	Submitter_Id	INSDC_center_alias	Broker_name	geographic_location_(region_and_locality)	AssemblyName	artic_primer_version (exp)	Isolate	host_subject_id	collector_name	host_common_name	host_health_state	host_sex	definition_for_seropositive_sample	serotype_(required_for_a_seropositive_sample)	virus_identifier	receipt_date	common_name	Host_Age	isolation_source-host_associated	BioSampleModel	collected_by	geo_loc_name	Host_disease	Host	Isolation_Source	Lat_Lon	max_cycle_threshold	min_cycle_threshold	strain	GISAID_virus_name	purpose_of_sequencing	anatomical_part	body_product	geographic_location_(latitude)	geographic_location_(longitude)	gisaid_accession	purpose_of_sampling	SUBMISSION_TOOL (exp)	SUBMISSION_TOOL (run)	submission_tool	dehosting_method (run)	sequenced_by
ERR5180241	AMPLICON	419	274116806	PRJEB37886	SAMEA7859977	27266872	WELLCOME SANGER INSTITUTE	2020/12/31	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4985088	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7859977	ERP121228	Lighthouse Lab in Cambridge	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655456F / DN737268B:C8	SAMEA7859977	Wellcome Sanger Institute	2021-01-25T22:04:12Z	2021-01-25T22:04:12Z	public	COG-UK/CAMC-E5265A	COG-UK/CAMC-E5265A	SC	SC	England	assembly	3																																				
ERR5181189	AMPLICON	420	217596324	PRJEB37886	SAMEA7860926	15751883	WELLCOME SANGER INSTITUTE	2021/1/3	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4986036	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7860926	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655465G / DN738629K:K24	SAMEA7860926	Wellcome Sanger Institute	2021-01-25T22:06:20Z	2021-01-25T22:06:20Z	public	COG-UK/MILK-EBB59E	COG-UK/MILK-EBB59E	SC	SC	England	assembly	3																																				
ERR5182365	AMPLICON	420	212789332	PRJEB37886	SAMEA7862104	23709874	WELLCOME SANGER INSTITUTE	2021/1/4	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4987212	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7862104	ERP121228	Lighthouse Lab in Cambridge	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655476J / DN739213R:C13	SAMEA7862104	Wellcome Sanger Institute	2021-01-25T22:10:37Z	2021-01-25T22:10:37Z	public	COG-UK/CAMC-ED615D	COG-UK/CAMC-ED615D	SC	SC	England	assembly	3																																				
ERR5182497	AMPLICON	419	636494471	PRJEB37886	SAMEA7862236	68167479	WELLCOME SANGER INSTITUTE	2021/1/4	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4987344	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7862236	ERP121228	Lighthouse Lab in Cambridge	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655476J / DN739213R:J22	SAMEA7862236	Wellcome Sanger Institute	2021-01-25T22:10:43Z	2021-01-25T22:10:43Z	public	COG-UK/CAMC-EDE708	COG-UK/CAMC-EDE708	SC	SC	England	assembly	3																																				
SRR14767378	AMPLICON	35	1280691038	PRJNA614995	SAMN19641325	420107998	UPHL_ID	2021/5/3	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX11100718	USA	North America	Illumina NovaSeq 6000	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-06-09T00:00:00Z	UT-UPHL-210603499600	SRP253926									UT-UPHL-210603499600													UT-UPHL-210603499600													SARS-CoV-2: clinical or host-associated	Utah Public Health Laboratory	USA: Utah	COVID-19	Homo sapiens	patient isolate																	
ERR5277716	AMPLICON	420	1127518209	PRJEB37886	SAMEA8015483	103870442	WELLCOME SANGER INSTITUTE	2021/1/28	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5068052	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8015483	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/10	2021/2/9	2021/2/9	2021/2/9	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1658057G / DN766087J:F23	SAMEA8015483	Wellcome Sanger Institute	2021-02-09T21:03:35Z	2021-02-09T21:03:35Z	public	COG-UK/MILK-11C5B11	COG-UK/MILK-11C5B11	SC	SC	England	assembly	3																																				
ERR5277780	AMPLICON	420	403795668	PRJEB37886	SAMEA8015547	39978111	WELLCOME SANGER INSTITUTE	2021/1/29	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5068116	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8015547	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/10	2021/2/9	2021/2/9	2021/2/9	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1658921V / DN766810M:K4	SAMEA8015547	Wellcome Sanger Institute	2021-02-09T21:04:23Z	2021-02-09T21:04:23Z	public	COG-UK/MILK-11D1F16	COG-UK/MILK-11D1F16	SC	SC	England	assembly	3																																				
ERR5277985	AMPLICON	420	472674348	PRJEB37886	SAMEA8015753	45170999	WELLCOME SANGER INSTITUTE	2021/1/29	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5068321	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8015753	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/10	2021/2/9	2021/2/9	2021/2/9	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1658921V / DN766810M:E22	SAMEA8015753	Wellcome Sanger Institute	2021-02-09T21:04:29Z	2021-02-09T21:04:29Z	public	COG-UK/MILK-11D2364	COG-UK/MILK-11D2364	SC	SC	England	assembly	3																																				
ERR5279848	AMPLICON	419	434311190	PRJEB37886	SAMEA8019359	40207710	WELLCOME SANGER INSTITUTE	2021/1/23	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5069968	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8019359	ERP121228	Lighthouse Lab in Alderley Park	2021/2/10	2021/2/10	2021/2/10	2021/2/10	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657661Q / HT-111234:D1	SAMEA8019359	Wellcome Sanger Institute	2021-02-10T11:24:17Z	2021-02-10T11:24:17Z	public	COG-UK/ALDP-115D440	COG-UK/ALDP-115D440	SC	SC	England	assembly	3																																				
ERR5281731	AMPLICON	420	649619459	PRJEB37886	SAMEA8021667	54519291	WELLCOME SANGER INSTITUTE	2021/1/28	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5071851	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8021667	ERP121228	Lighthouse Lab in Milton Keynes	2021/2/10	2021/2/10	2021/2/10	2021/2/10	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1658053C / DN765501V:A12	SAMEA8021667	Wellcome Sanger Institute	2021-02-10T16:07:56Z	2021-02-10T16:07:56Z	public	COG-UK/MILK-11A103A	COG-UK/MILK-11A103A	SC	SC	England	assembly	3																																				
ERR5282730	AMPLICON	419	973466352	PRJEB37886	SAMEA8022668	98672417	WELLCOME SANGER INSTITUTE	2021/2/1	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5072850	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA8022668	ERP121228	Lighthouse Lab in Glasgow	2021/2/10	2021/2/10	2021/2/10	2021/2/10	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1658951E / DN767091J:G20	SAMEA8022668	Wellcome Sanger Institute	2021-02-10T16:09:44Z	2021-02-10T16:09:44Z	public	COG-UK/QEUH-11CC682	COG-UK/QEUH-11CC682	SC	SC	England	assembly	3																																				
ERR5232902	AMPLICON	420	846645328	PRJEB37886	SAMEA7982730	69686693	WELLCOME SANGER INSTITUTE	2021/1/19	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5036632	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA7982730	ERP121228	Lighthouse Lab in Glasgow	2021/2/2	2021/2/2	2021/2/2	2021/2/2	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657147D / DN754324N:J21	SAMEA7982730	Wellcome Sanger Institute	2021-02-02T10:07:01Z	2021-02-02T10:07:01Z	public	COG-UK/QEUH-109C200	COG-UK/QEUH-109C200	SC	SC	England	assembly	3																																				
ERR5233202	AMPLICON	419	677140075	PRJEB37886	SAMEA7983030	74476913	WELLCOME SANGER INSTITUTE	2021/1/22	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5036932	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-16T00:00:00Z	SAMEA7983030	ERP121228	Lighthouse Lab in Glasgow	2021/2/2	2021/2/2	2021/2/2	2021/2/2	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657390M / DN758235G:B19	SAMEA7983030	Wellcome Sanger Institute	2021-02-02T10:07:36Z	2021-02-02T10:07:36Z	public	COG-UK/QEUH-10EF356	COG-UK/QEUH-10EF356	SC	SC	England	assembly	3																																				
ERR5274337	AMPLICON	420	756203919	PRJEB37886	SAMEA8012100	80012826	WELLCOME SANGER INSTITUTE	2021/1/26	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX5064673	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-03-17T00:00:00Z	SAMEA8012100	ERP121228	Lighthouse Lab in Alderley Park	2021/2/10	2021/2/9	2021/2/9	2021/2/9	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1657785E / HT-111265:E10	SAMEA8012100	Wellcome Sanger Institute	2021-02-09T20:54:26Z	2021-02-09T20:54:26Z	public	COG-UK/ALDP-11957BC	COG-UK/ALDP-11957BC	SC	SC	England	assembly	3																																				
